,DATE,RICE,WHEAT,RAW_OIL,REFINED_HYDROCARBONE,PEANUT_PRODUCTS_QTE,PEANUT_PRODUCTS_VALUE,PECHE,PRINCIPAL,INTERETS,IMPOT_REVENU_ET_SOCIETE,IMPOT_EMPLOYEUR_CFCE,TAXE_BIENS_SERVICES,TAXE_COMMERCE_EXTERIEUR,IMPOT_SUR_PROPRIETE_AUTRES_IMP,FOND_SEC_PP_FSIP,RECETTES_NON_FISCALES,MASSE_SALARIALE,FRAIS_HOSPITALISATION,EFFECTIF,OIGNON_LOCAL,OIGNON_IMPORTE,CEREALES_LOCALES_SOUNA,CEREALES_LOCALES_SORGHO,CEREALES_LOCALES_MAIS,RIZ_BRISE_PARFUME_LUXE,RIZ_BRISE_PARFUME_ORDIN,RIZ_BRISE_NON_PARFUME,RIZ_BRISE_INDIEN_ORD,RIZ_BRISE_LOCAL,AERIEN_MVTS_AERONEFS,AERIEN_PASSAGERS_DEPARTS,AERIEN_PASSAGERS_ARRIVEES,AERIEN_PASSAGERS_TRANSIT,AERIEN_FRET_DEPARTS,AERIEN_FRET_ARRIVEES,MARIT_EMBRQMT_MARCHNDIS_DIV,MARIT_EMBRQMT_PHOSPAHTES,MARIT_EMBARQMT_PRODUIS_MER,MARIT_DEBARQMT_MARCHDIS_DIV,MARIT_DEBARQMT_PETROLE_BRUT,MARIT_DEBARQMT_HYDROCARB_RAFF,MARIT_PDUIT_MER_DEBARQUEMENT,MARIT_PDUIT_MER_TRANSBORDEMENT,RECETTES_FISCALES,RECETTES_BUDGETAIRES,RECETTES_BUDGETAIRES_DIFF,Année,Mois,Trimestre,RECETTES_BUDGETAIRES_lag_1,RECETTES_BUDGETAIRES_lag_2,RECETTES_BUDGETAIRES_lag_3,RECETTES_BUDGETAIRES_lag_6,RECETTES_BUDGETAIRES_lag_12,RECETTES_BUDGETAIRES_ma_3,RECETTES_BUDGETAIRES_ma_6,RECETTES_BUDGETAIRES_ma_12,Mois_sin,Mois_cos,Trimestre_sin,Trimestre_cos
10,2009-11-01,52.846438,19.32,134.604115,109.29042,6.46,3.189455094,3.635,41.7,23.1,16.0,0.6,44.1,12.1,3.3,3.0,2.0,30.076237141,0.423179975,83934.0,0.0,335.0,194.0,208.0,194.0,417.0,352.0,257.0,250.0,250.0,3906.0,58714.0,67443.0,5962.0,945.591,935.031,151.7,17.0,3.635,282.15546499999994,134.604115,109.29042,3.849,1.735,79.1,81.1,-0.7999999999999972,2009,11,4,81.89999999999999,71.60000000000001,82.6,84.20000000000002,74.4,78.2,86.86666666666666,92.05,-0.5000000000000004,0.8660254037844384,-2.4492935982947064e-16,1.0
11,2009-12-01,71.065161,43.031991,0.113858,119.475322,1.973338,0.948993376,6.034,41.7,23.1,19.95,1.0,58.5,21.95,5.8,3.0,1.2,30.411157173,0.604661421,83934.0,0.0,349.0,195.0,199.0,189.0,406.0,350.0,266.0,250.0,244.0,3701.0,63475.0,68970.0,10006.0,1043.6,897.555,141.865,18.75,6.034,321.25682,0.113858,119.475322,4.372,2.549,110.2,111.4,30.30000000000001,2009,12,4,81.1,81.89999999999999,71.60000000000001,107.4,74.4,91.46666666666665,87.53333333333335,92.05,-2.4492935982947064e-16,1.0,-2.4492935982947064e-16,1.0
12,2010-01-01,34.454074,18.238506,0.921078,58.028535,0.015202,0.163611165,7.762,9.1,6.5,19.4,1.3,48.5,9.2,3.6,0.9,2.9,33.515355823,0.568881657,84560.0,0.0,365.0,201.0,201.0,196.0,411.0,351.0,273.0,300.0,253.0,3693.0,71584.0,68517.0,10955.0,1220.672,812.026,129.19899999999998,30.3,7.762,710.313922,0.921078,58.028535,3.183,3.514,82.9,85.80000000000001,-25.599999999999994,2010,1,1,111.4,81.1,81.89999999999999,96.6,74.4,92.76666666666667,85.73333333333333,93.0,0.49999999999999994,0.8660254037844387,1.0,6.123233995736766e-17
13,2010-02-01,40.436213,54.493368,128.415621,59.318283,5.241005,2.912739927,6.943,9.1,6.5,44.1,1.2,46.1,13.4,3.1,0.0,1.1,29.837719475,0.492567425,82918.0,282.0,378.0,204.0,194.0,195.0,415.0,353.0,250.0,250.0,251.0,3439.0,66179.0,62393.0,3227.0,1125.94,756.849,424.72,15.6,6.943,396.131096,128.415621,59.318283,3.535,4.558,107.9,109.0,23.19999999999999,2010,2,1,85.80000000000001,111.4,81.1,82.6,109.5,102.06666666666668,90.13333333333333,92.95833333333333,0.8660254037844386,0.5000000000000001,1.0,6.123233995736766e-17
14,2010-03-01,49.973221,32.60424,0.132824,172.32857,11.80423,5.945172751,6.671,9.1,6.5,16.8,0.9,52.4,13.6,3.6,3.7,0.9,30.647441925,0.448084688,84151.0,307.0,375.0,201.0,196.0,194.0,408.0,349.0,266.0,250.0,260.0,3880.0,80436.0,59811.0,4069.0,1548.884,938.582,194.092,14.65,6.671,640.817606,0.132824,172.32857,6.196,3.442,91.0,91.9,-17.099999999999994,2010,3,1,109.0,85.80000000000001,111.4,71.60000000000001,98.2,95.56666666666668,93.51666666666667,92.43333333333334,1.0,6.123233995736766e-17,1.0,6.123233995736766e-17
15,2010-04-01,60.467049,28.414819,0.573076,71.400121,5.010998,0.511649847,10.423,22.9,18.1,45.7,0.9,50.2,13.0,4.1,2.5,1.5,33.336738009,0.540518525,84143.0,311.0,383.0,199.0,194.0,187.0,408.0,350.0,276.0,250.0,263.0,4495.0,73513.0,53656.0,4417.0,1048.889,825.231,176.488,12.5,10.423,791.844803,0.573076,71.400121,5.938,6.949,116.4,117.9,26.0,2010,4,2,91.9,109.0,85.80000000000001,81.89999999999999,105.7,106.26666666666667,99.51666666666667,93.45,0.8660254037844387,-0.4999999999999998,1.2246467991473532e-16,-1.0
16,2010-05-01,65.833406,39.587111,129.204165,148.021657,0.01765,0.004936866,9.542,22.9,18.1,17.2,1.0,50.4,13.3,3.3,1.6,1.7,32.058573698,0.513647211,84991.0,331.0,400.0,202.0,201.0,191.0,410.0,349.0,275.0,250.0,256.0,3740.0,62402.0,50453.0,2990.0,1313.568,876.569,183.325,23.7,9.542,250.19517800000008,129.204165,148.021657,6.056,11.282,86.79999999999998,88.49999999999999,-29.40000000000002,2010,5,2,117.9,91.9,109.0,81.1,84.20000000000002,99.43333333333334,100.75,93.80833333333332,0.49999999999999994,-0.8660254037844387,1.2246467991473532e-16,-1.0
17,2010-06-01,65.430022,53.865105,0.35295,27.394355,6.379702,3.87569646,10.136,22.9,18.1,58.9,1.0,58.3,17.0,4.8,3.0,19.2,32.119545178,0.390542779,84997.0,410.0,0.0,201.0,208.0,193.0,410.0,350.0,278.0,256.0,265.0,3231.0,53433.0,49440.0,9682.0,1193.353,895.775,194.719,12.8,10.136,825.719695,0.35295,27.394355,3.928,4.049,143.0,162.2,73.7,2010,6,2,88.49999999999999,117.9,91.9,111.4,107.4,122.86666666666667,109.21666666666665,98.375,1.2246467991473532e-16,-1.0,1.2246467991473532e-16,-1.0
18,2010-07-01,57.94351,32.877404,136.00513,57.588118,0.97042,0.208456762,7.644,29.0,25.0,20.6,0.8,54.4,17.6,3.4,3.5,1.3,33.456777148,0.547790011,85080.0,519.0,581.0,206.0,215.0,195.0,408.0,352.0,285.0,263.0,274.0,3187.0,68856.0,75489.0,21155.0,1200.871,931.512,121.43,11.5,7.644,592.5387519999999,136.00513,57.588118,4.741,3.152,100.3,101.6,-60.599999999999994,2010,7,3,162.2,88.49999999999999,117.9,85.80000000000001,96.6,117.43333333333332,111.85000000000001,98.79166666666667,-0.4999999999999997,-0.8660254037844388,-1.0,-1.8369701987210297e-16
19,2010-08-01,60.148792,32.835289,0.034476,84.20124,11.0204,6.195970611,6.701,29.0,25.0,15.2,0.8,53.2,16.4,5.2,2.8,2.4,32.18932307,0.511941775,85022.0,465.0,534.0,204.0,213.0,196.0,408.0,352.0,289.0,275.0,277.0,2840.0,82004.0,55196.0,21252.0,1065.111,900.188,154.631,16.1,6.701,381.2372840000001,0.034476,84.20124,4.397,2.744,93.6,96.0,-5.599999999999994,2010,8,3,101.6,162.2,88.49999999999999,109.0,82.6,119.93333333333332,109.68333333333332,99.90833333333335,-0.8660254037844384,-0.5000000000000004,-1.0,-1.8369701987210297e-16
